id,abbreviation,name,annual_per_capita_consumption,total_beer_consumption,five_yr_consumption_change,bars_resturants_per_1000_people,beer_tax_rate
01,AL,Alabama,28.9,103.7,-2.3,153.3,1.05
02,AK,Alaska,26.0,14.0,-5.1,196.4,1.07
04,AZ,Arizona,26.6,135.6,-1.4,154.3,0.16
05,AR,Arkansas,23.7,52.0,-6.8,153.8,0.34
06,CA,California,25.1,724.9,3.4,192.2,0.20
08,CO,Colorado,28.3,117.6,4.5,203.5,0.08
09,CT,Connecticut,20.2,54.2,-8.1,204.5,0.23
10,DE,Delaware,28.7,20.7,-8.4,185.3,0.26
11,DC,District of Columbia,0,0,0,0,0
12,FL,Florida,26.3,423.1,4.5,169.5,0.48
13,GA,Georgia,24.0,179.6,0.1,167.9,1.01
15,HI,Hawaii,28.5,30.6,-2.9,227.8,0.93
16,ID,Idaho,25.9,31.5,2.8,183.3,0.15
17,IL,Illinois,27.4,259.4,-3.9,192.1,0.23
18,IN,Indiana,23.4,112.7,-6.0,172.4,0.12
19,IA,Iowa,31.7,72.0,-4.0,190.5,0.19
20,KS,Kansas,25.7,53.2,-7.9,173.5,0.18
21,KY,Kentucky,23.6,77.1,-0.8,153.3,0.85
22,LA,Louisiana,29.6,99.4,-10.9,169.1,0.40
23,ME,Maine,33.8,34.9,0.2,226.0,0.35
24,MD,Maryland,20.2,90.1,-9.6,169.5,0.53
25,MA,Massachusetts,23.6,121.9,-5.7,217.7,0.11
26,MI,Michigan,25.3,186.7,-3.8,171.2,0.20
27,MN,Minnesota,28.4,115.4,.01,170.5,0.49
28,MS,Mississippi,30.9,66.6,-6.7,149.9,0.43
29,MO,Missouri,27.7,125.6,-7.2,170.7,0.06
30,MT,Montana,39.4,30.8,1.4,257.5,0.14
31,NE,Nebraska,33.3,45.3,-1.7,197.1,0.31
32,NV,Nevada,32.9,72.9,2.2,196.9,0.16
33,NH,New Hampshire,40.6,41.8,-3.5,213,0.30
34,NJ,New Jersey,20.6,138.0,-3.5,200.5,0.12
35,NM,New Mexico,28.8,43.8,-9.1,158.4,0.41
36,NY,New York,21.9,327.5,-2.9,235.7,0.14
37,NC,North Carolina,25.0,188.0,-1.1,174.7,0.62
38,ND,North Dakota,38.3,20.9,-10.3,216.2,0.39
39,OH,Ohio,27.3,234.7,-6.9,180.6,0.18
40,OK,Oklahoma,25.1,70.7,-8.1,167.1,0.40
41,OR,Oregon,30.0,95.4,9.0,236.3,0.08
42,PA,Pennsylvania,26.4,254.1,-6.5,186.7,0.08
44,RI,Rhode Island,23.0,18.4,-10.0,250.9,0.12
45,SC,South Carolina,30.9,115.0,2.2,177.3,0.77
46,SD,South Dakota,38.2,23.7,2.8,204.4,0.27
47,TN,Tennessee,24.4,120.8,-1.6,162.4,1.29
48,TX,Texas,31.8,626.3,1.3,166.3,0.20
49,UT,Utah,18.7,38.1,2.8,154.8,0.41
50,VT,Vermont,32.8,15.6,-5.8,210.2,0.27
51,VA,Virginia,24.4,152.7,-3.6,176.3,0.26
53,WA,Washington,24.7,135.6,9.1,202.2,0.26
54,WV,West Virginia,27.4,37.8,-10.9,165.3,0.18
55,WI,Wisconsin,34.3,147.1,-2.4,213.8,0.06
56,WY,Wyoming,29.5,12.3,-10.4,209.7,0.02
60,AS,American Samoa,0,0,0,0,0
66,GU,Guam,0,0,0,0,0
69,MP,Northern Mariana Islands,0,0,0,0,0
72,PR,Puerto Rico,0,0,0,0,0
74,UM,U.S. Minor Outlying Islands,0,0,0,0,0
78,VI,U.S. Virgin Islands,0,0,0,0,0
